,STATE,ELEPHANT POPULATION IN 1993,ELEPHANT POPULATION IN 1997,ELEPHANT POPULATION IN 2002,ELEPHANT POPULATION IN 2007,ELEPHANT POPULATION IN 2012,ELEPHANT POPULATION IN 2017
0,Arunachal Pradesh,2102.0,1800.0,1607.0,1690.0,890.0,1614
1,Assam,5524.0,5312.0,5246.0,5281.0,5620.0,5719
3,Nagaland,178.0,158.0,145.0,152.0,212.0,446
6,Tripura,100.0,70.0,40.0,59.0,59.0,102
7,West Bengal (North),186.0,250.0,292.0,325.0,647.0,488
9,Jharkhand,550.0,618.0,772.0,624.0,688.0,679
10,Odisha,1750.0,1800.0,1841.0,1862.0,1930.0,1976
15,Uttar Pradesh,47.0,70.0,85.0,380.0,291.0,232
18,Tamil Nadu,2307.0,2971.0,3052.0,3867.0,4015.0,2761
19,Karnataka,5500.0,6088.0,5838.0,4035.0,6068.0,6049
20,Kerala,3500.0,3600.0,3850.0,6068.0,6182.0,5706
21,Andhra Pradesh,46.0,57.0,74.0,28.0,41.0,65
24,Total,25569.0,25842.0,26373.0,27694.0,30051.0,29964
