STATE,ELEPHANT POPULATION IN 1993,ELEPHANT POPULATION IN 1997,ELEPHANT POPULATION IN 2002,ELEPHANT POPULATION IN 2007,ELEPHANT POPULATION IN 2012,ELEPHANT POPULATION IN 2017
A&N Nicobar Islands ,137,95,66,155,130,204
Andhra Pradesh,46,57,74,28,41,65
Arunachal Pradesh,2102,1800,1607,1690,890,1614
Assam,5524,5312,5246,5281,5620,5719
Bihar ,137,95,66,155,130,204
Chhattisgarh,304,159,90,197,187,260
Haryana,137,65,66,155,130,204
Himachal Pradesh,137,65,66,155,130,204
Jharkhand,550,618,772,624,688,679
Karnataka,5500,6088,5838,4035,6068,6049
Kerala,3500,3600,3850,6068,6182,5706
Madhya Pradesh,137,65,66,155,130,204
Maharashtra,108,95,86,155,130,204
Manipur,64,65,66,155,130,204
Meghalaya,1467,1406,1406,1392,1169,1423
Mizoram,64,65,66,155,130,204
Nagaland,178,158,145,152,212,446
Odisha,1750,1800,1841,1862,1930,1976
Tamil Nadu,2307,2971,3052,3867,4015,2761
Total,25569,25842,26373,27694,30051,29964
Tripura,100,70,40,59,59,102
Uttar Pradesh,47,70,85,380,291,232
Uttarakhand ,1467,1406,1406,1392,1169,1423
West Bengal (North),186,250,292,325,647,488
West Bengal (South),108,95,86,155,130,204
