,STATE,ELEPHANT POPULATION IN 1993,ELEPHANT POPULATION IN 1997,ELEPHANT POPULATION IN 2002,ELEPHANT POPULATION IN 2007,ELEPHANT POPULATION IN 2012,ELEPHANT POPULATION IN 2017,Predicted Population
0,A&N Nicobar Islands ,261,159,66,155,130,204,211
1,Andhra Pradesh,46,57,74,28,41,65,46
2,Arunachal Pradesh,2102,1800,1607,1690,890,1614,2249
3,Assam,5524,5312,5246,5281,5620,5719,5296
4,Bihar ,261,159,66,155,130,204,211
5,Chhattisgarh,304,159,90,197,187,260,210
6,Haryana,261,99,66,155,130,204,145
7,Himachal Pradesh,261,99,66,155,130,204,145
8,Jharkhand,550,618,772,624,688,679,548
9,Karnataka,5500,6088,5838,4035,6068,6049,5627
10,Kerala,3500,3600,3850,6068,6182,5706,3611
11,Madhya Pradesh,261,99,66,155,130,204,145
12,Maharashtra,108,95,86,155,130,204,135
13,Manipur,64,65,66,155,130,204,107
14,Meghalaya,1467,1406,1406,1392,1169,1423,1529
15,Mizoram,64,65,66,155,130,204,107
16,Nagaland,178,158,145,152,212,446,270
17,Odisha,1750,1800,1841,1862,1930,1976,1789
18,Tamil Nadu,2307,2971,3052,3867,4015,2761,2357
19,Total,25569,25842,26373,27694,30051,29964,25546
20,Tripura,100,70,40,59,59,102,86
21,Uttar Pradesh,47,70,85,380,291,232,74
22,Uttarakhand ,1467,1406,1406,1392,1169,1423,1529
23,West Bengal (North),186,250,292,325,647,488,128
24,West Bengal (South),108,95,86,155,130,204,135
